,text
1447,@united it was me who had the problem won flight ua 1580. I called and rebooked myself found my own hotel and taxi
1448,@united will do. Thanks for the help. Cheers
1449,"@united bull crap.  I spent $600 on a recent trip.  That's not small change. I got 10,000 AA miles.  Would have only been 6600 UA"
1450,@united yes I did. Terrible service from your courrier
1451,@united compensate us for new clothes bet you won't
1452,@united I have 8 flights with you in the next two weeks :) let's make some good memories!
1453,"@united, we're stuck at OGG, looks like flight will be Cancelled Flightled. Can you help? =)"
1454,@united yea they been booked on 10 next avalible flights since sat 7am. And when time comes no plane 2nd day of work missed #hotelliving
1455,@united currently crying... I wanted to ski tomorrow but prolly not. Just a boy tryna fulfill his dreams
1456,"@united I tried the online tracking and they said something like ""attempting to locate luggage"""
1457,@united your worker told us not to call because we'd be talking to someone in Thailand...
1458,@united - Going on 3 days (tomorrow) and I still haven't received my bag from my flight to Toronto. Would love to see some seriousness here.
1459,@united is there nothing you can do for me? No compensation at all? Given the circumstances I feel like there must be something you can do
1460,@united there is a disconnect between your PR group and the actual business strategy and employee attitude on the ground.  #liars #united
1461,@united here we go again. 2 of 3 segments SFO--New York RT were delayed OVER 2 hrs each! Why do you suck so BAD!?!Maybe another line of bus?
1462,@united you really screwed up dealing mechanical failure from Maui to San Francisco. Poor communication bad help in getting connections
1463,"@united if you don't like delayed bags, why do you let it happen so much?"
1464,@united the delay is due to customer service for 20 people?  What about the DIS-SERVICE you provided for 100+?  #FlightFail #Hour20Delay
1465,@united he is so excellent and so reliable :) #happycustomer
1466,@united but again UNITED DOESNT GIVE 2 SHITS ABOUT THEIR CUSTOMERS
1467,@united its funny how none of ur tweets back are helpful what I want is to read 'ya we'll change that so our customers get better service'
1468,@united She is travelling from Melbourne (Australia ) to Bogota (Colombia) tomorrow
1469,@united Hi.  My relative's Flight Booking Problems number is MY8YB4.  Her name is Clarita Jaramillo Mejia.  Thank you
1470,@united it was delivered! Thank you for making sure it arrived at my doorstep!
1471,"@united really needs to get its act together. Really disappointed in our change of flight, delayed flights, etc."
1472,"@united-rebooked to OMA - 180 miles from my destination. Spotty customer service. I get staff stressors but come on, this is your business."
1473,@united Why have airlines always told us they can't open a cabin door once it has been closed?  This plane has done it 3 times tonight.
1474,“@united: Looking for a reason to travel? #quote http://t.co/GGuIg3t28z”
1475,@united I can't find any Late Flight evening flights. Are there other airports that would have an overnight flight?
1476,@united Thanks for the vague canned response that doesn't address the issue!
1477,@united thank you!
1478,@united that's not good enough for all of us affected by the awful organization and timing and have now been set back
1479,@united  Otis in the baggage claim by Bay #8. not at all happy but not nearly as pissed.
1480,@united Why is my time less important to you?  #StrandUsInDenver #HourAndTenMinuteDelay #FlightFail
1481,@united airlines: you kidding? Bagage lost this morning from ny to Washington and still no trace? #badservice
1482,@united I did. It took about an hour and a half though
1483,@united Why have you never held a plane for me? #HourDelay #MultipleDoorOpeningAndClosing #DangerOfGettingSnowedIn
1484,@united i did but i got nothing from it. Just dissapointment =(
1485,@united WHERE IS MY FUCKING BAG?!?! Where the fuck is my fucking bag??? TELL ME NOW OR GIVE ME A NUMBER TO CALL A HUMAN. SAN68059M
1486,@united I was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other Cancelled Flightlations.
1487,@united Made@it to the gate at 8:23 and they wouldn't let us on. http://t.co/xAToxBnsFa
1488,@united time to give up my 1K status and switch to @Delta - you are so terrible I can't even describe.
1489,"@united Thanks! LOL! #UA6259 will wait for us. Per @flightaware, same tail number as #UA5525 :)"
1490,@united You suck. Flight delayed equipment probs again. Miss connection by 2 minutes and you won't let us on even though it's at the gate.
1491,@United #1758 now going in 40 min waiting for other plane to vacate gate. #findanothergate
1492,@united Flight 2 is 2:30 hrs delayed so far b/c of Late Flight crew. Now we are literally waiting while they have dinner acc. to honest gate agent.
1493,@United many people on Ua6318 are going to miss connections due to long wait time in SFO tarmac. Seriously u can't find an empty gate?
1494,@united You're trying to solve problem of your own making. Charging for checked luggage forces checking at gate. Brilliant.
1495,@united we've been waiting 45 min for a gate at SFO... Yet so many of them are free.  Your excellence in operational efficiency is showing
1496,"@United ""delayed due to customer service"" Huh? http://t.co/XlTV5z6sT1"
1497,@united what about the poor customer service at checkin at Kansas KCI?!? That's it???
1498,@united except all of that delayed the flight anyway.
1499,@United maybe find a different gate #ua1758
1500,@united I sent a message. It's very irresponsible that my suitcase cannot be found. This is truly worst service ever... #fedup #disastrous
1501,@United landed in den on time stuck waiting for gate for 30 min. Maybe an update would be a good idea capt?
1502,@united wanted to point out that not one United crew has been sympathetic. Questions unanswered. MileagePlus is starting to look like a joke
1503,@united can we get an explanation on why UA978 from São Paulo to Houston has been delayed? Now we're hearing from crew about Cancelled Flightlations.
1504,@united Why was flight 1180 EWR to MCO Cancelled Flightled for tomorrow and what do I do to rebook. Asking for a relative.
1505,@united Can you tell me Jet Airways award availability?
1506,"@united I understand the intent was not to inconvenience, but catching a cab back to the airport to show them wet clothes wasn't an option."
1507,@united What are the chances of my flight to EWR from PIT being Cancelled Flighted tomorrow?
1508,@united @baftz rcvd promo if i booked flight silver status would be extended it was not dont have flier that was sent didnt think id need
1509,"@united, wife landed in DC 5hrs ago. luggage did not, was told it would B delivered/Hotel by 8pm. It's now 10pm, no luggage. #UA484"
1510,@united on a flight at 11:30 tomorrow.
1511,@united not sure why the people in row 7 that paid for a premium seat can't use their overhead space... http://t.co/i9s86KiHge
1512,@united is so cheap they couldn't afford to run the AC on #UA1510. They took pressure cooker to a new level. #Cheap #WorstAirline
1513,@united why is it that Sundays when my husband travels to Chicago he's stuck at Tarmac &amp; misses connecting flight always
1514,@united Well I can tell you that your customer service at RDU airport is horrific but is exception at O'Hare in Chicago.
1515,@united sitting on UAL 683 - a comedy of errors.  UAL is incompetent
1516,"@united on #UA3785 tonight and told delayed due to Late Flight crew. No idea where crew coming from, your staff ++unhelpful. Any ideas?"
1517,"@united, take a look at status of 683, sitting at ORD ... This ain't cool, yo."
1518,@united bummer but thank you for the quick response
1519,@united I didn't have time to take my wet clothes/suit back to the airport and wasn't going to pay for another cab to do so.
1520,@united didn't realize my bag/ contents were wet until I got to my hotel. Sent my suit/shirts out to be dry cleaned. Mtgs start tomorrow.
1521,"@united You load our plane at ORD knowing pilots are 2 hrs Late Flight, then discover plane needs to be fueled? #WTF #united #incompetent"
1522,@united resolved and im sick and tired of waiting on you. I want my refund and I'd like to speak to someone about it.
1523,@united I'm really glad I just waited on the phone for over an hour to be sent to a voicemail. Your customer service sucks. Nothing has been
1524,"@united, you just caused a riot on the airplane. Never seen anything like this"
1525,"@united Instead of sending inaccurate emails about delay every 5 min, just say we will get you there when we get you there."
1526,@united so glad I've been waiting for 1 hour and 15 minutes and Ive been transferred 3 times without resolving anything. Worst service ever.
1527,@united we still need help. Hung up on twice. Customer service rep said there is no way to help between the gate rep and phone rep.
1528,"@united They let us know in advance of the reboot, yes :) Thanks for the attentiveness!"
1529,@united lol too little too Late Flight
1530,@united yes. Bags came 1 hr after I arrived at baggage claim. Awful experience on the ground at BHM
1531,@united @FernHeinig18 your delay is due to your own making. We have now been back to the gate multiple times. Maybe take accountability
1532,@united Why do I have to give up my leg room so these 4 people (not in my row) can fill the bin?  Pls start charging. http://t.co/2nY5TuXFqf
1533,@united please tell CLT flight 4232 needs a gate. Waiting now for 15 mins.
1534,@united Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief
1535,@united booked EWR-FLL in first for two on 3-8. Let's see how you compare to the garbage @AmericanAir first class has become
1536,@united your seats are god awful.
1537,@united good try but @SouthwestAir got her here safer and sooner
1538,@United Wanted to compliment ur phone agent Jeanette for reFlight Booking Problems RDU to SEA thru SFO after connecting flight thru EWR was Cancelled Flightled.
1539,@united 3 hour 45 min delay so far..... Would love to round to 4 hours to just go to bed!
1540,@united Educate Bohol is a 501(c)(3) w/all volunteer staff. I can help the kids or buy a plane ticket ...I can't do both. Can you help?
1541,"@united I need to get from Albuquerque, NM, USA, to Cebu, Philippines. I'm providing educational help for 800 kids. Can you help me?"
1542,@united I'm on UA1118 and my direct tv isn't working.  How do I avoid this in future?
1543,@United is truly the drunk uncle of boarding. Don't believe gate agent that overhead is full; don't reserve aisle http://t.co/cdZhTyd0aK
1544,@united i sure will
1545,@united on the plane. I was thoughtful enough to ask for it and got it; there are prob others that also deserved it
1546,"@united, any options to cos tonight? Doesn't look like #UA5525 will make it in time for #UA6259. Should I reserve a hotel room?"
1547,"@united Appreciated, but in this case we waited an extra 55 minutes for a lost mechanic to fax the log. Fax...like in the 80s."
1548,@united S/O to @Delta for coming in clutch and finally taking me home 🙌🙌
1549,@united customer service sucks!  They hang up after waiting an hour and talking for 5 minutes.
1550,@united JP - DM message who? Can't get a DM through to @united
1551,@united strikes again! Why board anyone if there's something wrong with the plane? Common sense.
1552,@united:  thanks for the miserable trip GNV&lt;&lt;&lt;FSD on 2.19-2.21.
1553,@united Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting.  Now day Late Flight. No apology or upgrade offer to LHR from ORD???
1554,@united left my iPad on MCO-&gt;IAD flight 174. How long to hear back once claim submitted? TY!
1555,@united social media team is on point on #OscarNight :)
1556,@united always happy to start my life with my new wife with a 5 hr travel delay due to MAINTENECE and it would appear incompetence
1557,@united is the airline of the Oscars but doesn't carry ABC on Direct TV?!?! Fail - now I can't watch the Oscars. #united
1558,@united this is it... Last time I fly #UnitedAirlines  you screw up every trip now will be stuck in ord and miss work.
1559,@united Didn't know that buying a seat in first class was just a 'request' to sit in first class! Very Interesting.
1560,"@united I understand the intention, but it pales in comparison to a day of lost wages for both my wife and I because of the delay."
1561,@united I need help with a missing bag.
1562,@united I was. But I have given up.
1563,"@united can I get on a stand by list from ASE to ORD? I'm the only poor person in Aspen, that's why I'm asking for standby on twitter."
1564,@united you changed my entire flight plan for vacation and now I will be there alone a day and night early with nowhere to stay. Help!
1565,@united UA647 heading back to gate bc improper load? if ur packing us to the gills should at least take care to load bags. expecting comp...
1566,@united is the worst airlines sitting on the plane at  Houston-bush airport now for an hour and a half waiting for Late Flight passengers
1567,@united might possibly have the worst service on the planet.
1568,@united deceptive marketing practices promised me if i booked flights i would retain my status now they are not granting. Neverflyunited
1569,@united Hey so many time changes for UA 1534. We going tonight or what? MIA - EWR
1570,@united and that it would be sent on the next flight to Hayden/steamboat (HDN) from Denver. So I'm hoping its on there
1571,@united and pick it up and just bring it on the shuttle. When I went to double check on that they said it was still on the concourse
1572,@united I honestly couldn't tell you. All I know is that originally we were going to have it brought in from the concourse
1573,@united missing a day of vacation to see my husband because of this delay but stuff happens and I get that. Just wish it was handled better
1574,@united UA1534 has now had 11 different departure times. Wtf. Make up your mind.
1575,@united thanks for making everyone wait in the dark for an hour while Newark tries to figure out which gate to go to. #incompetence
1576,@united thank you for following up!
1577,@United Claudia in IAH terminal b travel assistance has me all set. Great service. Thank you.
1578,@united is it possible to add a Known Traveler Number to my ticket after Flight Booking Problems?
1579,"@united why doesn't my daughter, booked with my gold member miles, get on the upgrade list for her flight tomorrow?"
1580,@united If an award is no longer showing available could it possible become available again?
1581,@united flight to DFW from IAD Cancelled Flightled for mechanical can I get rental car to MDT-my origin
1582,@United can you help me get from IAH to SFO earlier tonight?
1583,@united was so on point for 5/6 of my flights this past week . . But this last one really sucks shit
1584,@United and here i thought American was bad. Horrible Service. Over 2:30 min Late Flight. No excuse!
1585,@united UA1565 IAH -&gt; SJO is delayed by like 1.5 hours. Crazy!
1586,@united I don't know my flight details bc I need to explore some options which I'm unable to do bc the site won't let me.Seems to be ongoing
1587,@united How about free wifi when your flights delayed? Only 20 mins allowed!
1588,@united I did. they told us the wrong carousel number.
1589,@united no thanks
1590,@united CDG-LAS 42 hours. And my luggage is in SFO. I've been wearing the same clothes for 42 hours. Thank you. #flythefriendlyskies
1591,@united this airline is a joke my friends been trapped in houston since 7am sat and have no flight in sight #unitedworstever #trappedhouston
1592,@united why do you hate your passengers?
1593,@united how can a plane that has been sitting in a hanger all day have numerous mechanical problems. Doesn't anyone actually do maintenance
1594,.@united in the future when delay causes 15 hour wait (slept night in airport) ensuring seating choice for replacement flight would be good.
1595,@united is my flight delayed? It keeps changing between delayed and not??? If delayed is checkin time Late Flightr??? http://t.co/NTUIx5dbYR
1596,@united what a long day of delays. Please get us to Dallas tonight!!!!  Fingers crossed!!!  #winterstorm2015 #whichisworsedenordfw.
1597,@united -How is it that all my flight times were changed without any official notification? Almost missed my flight this morning. Not cool!
1598,@united they had record of it being at Denver on the concourse prior to me gettin on the shuttle. I just want to confirm its location
1599,@united #LAX #sunrise UAL212 LAX-JFK
1600,@united ...would be on the next flight to Hayden/steamboat
1601,@united we needed to be at steamboat for a meeting by 3pm so we took a shuttle. The United customer service people said the bag would be on
1602,"@united, there is no good word for describing how angry and pissed off of a customer you have made me."
1603,"@united Late Flight 2014 and 2015 are huge step towards decline in service, and your agents, not all, are as arrogant as ever.  #UnitedAirlines"
1604,@united Denver baggage handlers you totally impressed us today. Our lungs barely made the run to connect but our bags had no problem! #DEN
1605,"@united flight 3870 to Newark, stuck in the runway. About to miss my connection and they are just sorry for my inconvenience!!!!!!"
1606,@united false.
1607,"@united sitting on the runway in Newark, they won't let the plane to a gate. My connection boards in 1 minute. @united hates us all."
1608,"@united thanks, it was my first time in a United lounge and felt welcomed."
1609,".@united all other ANA ticket holders get to use the lounge, too. But not us. Because United booked us. #grumpykim"
1610,"@united Good evening, UA. Can you assist with an issue via DM?"
1611,@united Never had a flight delayed an hour due to an unbalanced load. And more delays at @flyLAXairport. Great job idiots.
1612,@united 100. % failure in 2015 #UnitedAirlines
1613,@united can Cancelled Flight my flight anytime if this is where they keep me for the night.. http://t.co/avRTOWTyzk
1614,"@united you guys suck, 2 1/2 delay to get out of ers and didn't even have curtesy to let me know,  #UnitedAirlines"
1615,"@united Unfortunately had a bad experience flying with you on Saturday. Inpolite crew, bad delays."
1616,@united seriously? 45 min on the plane at bhm and now 30 min in baggage and still no bags? #worstairlineever
1617,@united thanks for updating me about the 1+ hour delay the exact second I got to ATL. 🙅🙅🙅
1618,@united but we are on All Nippon now (booked by United to replace the one we missed).
1619,@united what is this subtlety gate changes? Are you kidding with me?
1620,"@united been good 15yr ""friendly skies"" relationship. 2day agent told me I'm ""only Canadian"" and thus not good enough for military preboard"
1621,@united yes was trying to upgrade my seat. Now there are no available spots
1622,“@united: @rikrik__ What made you come to this? Can we help you with anything? ^JP” inconvience*
1623,"“@united: @rikrik__ What made you come to this? Can we help you with anything? ^JP” free tickets , for the i convince ."
1624,“@united: @rikrik__ What made you come to this? Can we help you with anything? ^JP” the service just hasn't been great.
1625,".@united I think not. I'm not flying you again, if I can help it."
1626,@united Resolved. Over hour of work on  ground &amp; somehow the system reset itself during takeoff. I appreciate the quick response/service.
1627,@united  always a fucken nightmare with your airline. #fail #lazy #alwaysLate Flight #worstairlineever
1628,"@united we were told when we checked in, as soon as we were allowed to, that there are no other seats available on the plane except middle."
1629,@united EVERYTIME I fly UR airline I hate you even more ! Thanks for the terrible service on flight 1071
1630,".@united Really? Was bumped down from Gold status, asked to pay $$ to keep it, and get fewer miles... How is that worth it?"
1631,@united you always surprise me with the awfulness of your airline. You guys suck. #worst
1632,@united that I would get on early enough to not have to green tag. but no go. if not for Otis I would be still sitting at ORD
1633,@united and to add to my earlier tweet. This was my daughters 5th Bday present. Thank you for the hard work and making it happen.
1634,@united you have a guy named Otis at ORD that knows what #customerservice is. he was able to get my bag to me. I upgraded just to be sure
1635,"@united @lpdstock tweet bots obviously don't get sarcasm, making computers more and more like real people."
1636,"@united you all do a wonderful job today. Got my wife, daughter, and myself from PGH to Orlando after out flight was delayed luggage and all"
1637,@united customer service what's That???
1638,"@united -- overFlight Booking Problems planes, Departing delayed, Returning for 'more quick fixes' &amp; breaking out attitudy-customer service? #worstairline"
1639,"@united @jeffsmisek @RobertFor39 @Fioretti2ndWard @garcia4chicago  
FAA invest near miss on O'Hare runway last wk:http://t.co/jVJ73ZZa4A"
1640,@united Pay for a cab back to the airport to show baggage dept. my wet shirts and suit is not a viable option. 2nd time this has happened!!
1641,"@united that's what you have said for years, you are losing customers!!!!!!"
1642,@united I am UA elite Gold and have a UA Chase pres. plus credit card.  How many EQM's do I need to get Platinum Elite!
1643,@united. Once again your lack of customer centricity us astounding
1644,@united now this http://t.co/uygeW2Nosr
1645,"@united Would be nice if @staralliance partner tickets that don't provide full PQM credit are more obvious before purchase. Lost 1,200 miles"
1646,@united nope. Even better there were 4 seats. And due to W&amp;B first to raise hands got to move up. I wasn't fast enough.
1647,@united now maintenance issues with flight 5639 and more issues with passengers that will miss connections needing to get off
1648,@united look at this beauty 😉 dc-10 united airlines 😉 Hope you like this beauty 😉 http://t.co/NS1aCFqCdQ
1649,@united seriously what's with the slow #wifi on this flight! If the speed was going to change for the worse then the price shouldn't go up!
1650,". @united 5 hours, 3 gates, and 3 planes Late Flightr still not an update, explanation, or apology to be had. #WorstAirlineEver #UnitedAirlines"
1651,"@united your gate attendant had some snobby remarks, your customer service is like playing poker with my sisters kids!"
1652,"@united Poor cabin luggage service on UA1266 to BOS, I was forced to check in even when there was empty space for bags in the overhead!"
1653,"@united when I click that link it wants my flight info. I haven't booked a flight yet. I read you waive fees for military, it this true?"
1654,"@united no, we still have not heard anything from anyone at @united or the @ErieAirport"
1655,@united every time I search a flight your site logs me out and gives error message. About to book on a different airline and Cancelled Flight my card.
1656,@united so the last seg of my flight from Denver (DEN) to hayden/steamboat (HDN) for 8am got Cancelled Flightled and I need help finding my luggage
1657,@united 8 hours Late Flightr and I'm siting on another plane waiting to leave. I think a credit is in order for this terrible service!
1658,@united I'll let you know week after next when I do another coast-coast RT again.
1659,@united We waited 40 min for our bags after a 45 min flight #nomorecheckedbags
1660,@united now let there also pls be in-flight live TV on UA469 DEN-EWR so I can watch the #Oscars ??
1661,"@United​ has Cancelled Flighted 1 arrival into SHV tonight &amp; the 1st departure flight on Mon, Feb 23rd. Check with your airline for flight status."
1662,@united it was such a lovely part of this long day - attendants on UA5168 (most) /UA795 were beyond exceptional today. #GiveThoseLadiesRaise
1663,@united 4 open seats in 1st class on UA 2065. Way to honor your upgrade policy for freq flyers and/or honor an employee with an upgrade.
1664,@united I trust you enough to put my coat in my checked bag!
1665,@united yes I have &amp; they're unsure when it would come.This has never happened on any airline and my first time with @united #disappointed
1666,@united of course. But interesting how United doesn't seem to have a good sense on what's happening with flight
1667,@united pushing five hours and my time is worth nothing to you. reFlight Booking Problems not an option unfortunately.
1668,"@united finally made it to rep, who solved my problem."
1669,@united you guys are complete ass
1670,@united thanks gate agent extraordinaire Seau Fong for helping me get re-booked out of Boise and (hopefully) home to NYC sometime tonight!
1671,@united why are your agents working so slowly to rebook people who are on #UA1481. We have all wasted an entire day at STT.
1672,@united Thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!
1673,@united you friend's flt from ase to Denver is Cancelled Flightled for tomorrow.  Can you help with rebook?
1674,@united - Plane came in with broken seat.  Rather than fix it they put a broken sign on it and separated me from my kids.
1675,@united worst flying experience ever and they tried to blame it on ATC?! I watched them load bags for 30min after boarding 45min Late Flight
1676,@united used to (still do?) let you listen to flight radio...I often did...interesting to me #TCMParty #CE3K #31DaysOfOscar
1677,@united went to Customer Service kiosk and they were able to help out! Still thanks for following up!
1678,@united have you read your own same day travel change policy?
1679,"@united your b737-800w  literally the smallest seats I have ever have, my dad got stuck In the tiny bathroom ad well #disspointed #premier1k"
1680,@united AND WE GOT ZERO VOUCHERS FOR HOTEL OR CAB. I expect some SERIOUS mileage credits.
1681,@united nope all set. Thx for checking.
1682,@united +the plane.
1683,"@united my flight was already Cancelled Flightled this morning because of a ""snow storm in Denver"". And now I'm in DC waiting for a pilot to get on+"
1684,@united still sucks. I don't understand why you have two cust service agents for a long line at Houston international b gate #unitedsucks
1685,"@united the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! That's code for ...?"
1686,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos."
1687,@united has an United flight ever been on time. #americanisbetter
1688,@united I'd rather spend two days in the back seat of a Volkswagen than two hours on your plane! #disgruntled #whatacluster
1689,@united my flight was supposed to depart to Boston at 4:36 and now it's departing at 6:30 due to issues with finding a pilot. Thanks a lot!!
1690,@united I suppose your customers enjoy screaming toddlers then. Not my problem if someone complains!
1691,"@united you could give me free flights for life, and I'd still choose to purchase my tickets from a competitor."
1692,@united The first time I flew United was horrible thought I would give you a second chance. There will NOT be a third! #disgruntled
1693,@united flight from san fransico to jfk was evacuated why?
1694,"@united 4994 out of Jackson, Wyoming... Delayed by no pilots.. Full toilets.. Deplaned 2ndary to mechanical fail.. Cancelled Flightled flight pending"
1695,@united is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!
1696,"@united ... I want my bag off flight 1142, what do I do now?"
1697,@united thanks for causing us to miss our connection and now a 6hour delay #flydeltanexttime
1698,@united I do not see where it talks about military baggage fees. Can you please guide me. Thanks
1699,@united I hope you lose the next govt contract
1700,@united lost my bags and there was a flight from Chi to Eri that landed over 1.5 hrs ago...yet still have zero updates?? #UnitedAirlinesSux
1701,@united i will just send my confirmation number when I get home safe and sound. This is why i pay so expensive services to you!
1702,@united the bag is in a state that I didn't travel to and the airports don't fly to each other. Looks like it'll never show
1703,@united ridiculous! I have to be refunded whenever I get at my final destination or not!
1704,@united stay more than 24h traveling ans sleeping on the airports floor
1705,@united seriously?   UA 806.  Delayed because of the copilot isn't here?  For 1.5 hours and he is only flying from Raleigh? Disappointing
1706,@united seriously. This is just complete bs.
1707,"@united, we've been waiting for over an hour for our luggage- what gives?"
1708,@united the costumer services here at Denver Intl Airport is ridiculous bad!
1709,@united Lied to my face at the gate about upgrades. Thanks. #badservice #unitedsucks
1710,@united I have proof that my situation now is due to company mistake
1711,@united ouch not fair
1712,@united is synonymous to with #rude. And #cheap. You really don't know how to value the customer
1713,@united I have to go back home! I have to use what the company has available. But it's unfair to stay more than 24 h traveling
1714,@united if I miss the #Oscars I'll never fly united again
1715,@united is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy
1716,"@united flight delayed...again...every time. ""Maintenance issues"""
1717,@united I should be fine. They automatically changed my connecting flight for me so I wouldn't miss it. A+ work.
1718,@united yes... A ride home would be perfect.. A fete one would assume possible after charging 1600$ for a domestic flight... Ps we deplaned
1719,@united I'll be calling tomorrow
1720,@united and I was denied an upgrade because of catering issues??? #poorservice
1721,@united--excited to barrel through the sky at 600mph on a 75 ton piece of metal operated by a company that can't get their tiny TVs to work!
1722,"@united heard about the voucher/miles credit for Cancelled Flighting my international flight yesterday, but I didn't get an email."
1723,"@united, maybe don't play the video about how your flights are outfitted w wifi on the flights where wifi isn't working...✈️"
1724,@united on line baggage system complete rubbish. bag missing 2 days. No meaningful information.
1725,@united...do you still have flat tire policy.  Shuttle broke down on way to ORD.  Will probably miss the 425pm to CLE...Help please!!
1726,@united thanks. Just was able to do it on the app myself. Still not customer service to be seen in YYZ
1727,"@united thx off the response, finally got through the 45 min wait and talked to someone."
1728,@united so unhelpful... http://t.co/vBfIeo2qJC
1729,@united I would take the $500 voucher you offered for MISCOUNTING THE # OF SEATS ON YOUR PLANE but that means I would have to fly you again
1730,@united - 3 of 6 First seats open on UA5097. No upgrades processed. Gate agents @yyz said their too busy. Not cool http://t.co/6KpyhckA9l
1731,@united @rayja9 flying to las vegas out of Chicago flight is Late Flight and no announcement has been made
1732,@united I believe. It was Cancelled Flighted yesterday I guess. Goes back to no notification from United about Cancelled Flightlation
1733,"@United - In case you're reading this, UA230, right now, 7D. So many oversized carryons taking up too much room. Enforce your rules."
1734,"@United is an airline where you pay extra to get a better seat but by the time you board your overbooked flight, there's no overhead space."
1735,"@united Okay, just requested to follow."
1736,"@united Thx, just DM'd. Conf #'s MQXC64 &amp; MPWNC2. Any help appreciated"
1737,@united make sure you take care of @LSUsoftball team &amp; @LSUQuinlanDuhon team. We are 16-0!!!!
1738,"@united Delayed 7 hrs flight 5721 PIT/IAD, finally board the plane, sit half hour &amp; crew is at their hrs limit &amp; we deplane. Unacceptable."
1739,@united stuck in YYZ because staff took a break? Not happy 1K....
1740,@United Personal Device Entertainment system is great but with app crashing every 10/15 mins I'm glad it's free for now.
1741,@united pls stop sending texts every 15mins saying my flight is delayed another 15mins-It's been 3hrs. I usually defend u but this is lame..
1742,"@united agent, ""You should use the bathroom before boarding.. Toilets onboard are full."" Oh you can expected a strongly worded email FUnited"
1743,"@united should hire extra customer service reps. 50 minute wait time to ask one question? I would rather just fly another airline, thanks."
1744,@united united flight UA3774 after two delays just Cancelled Flightled no explanation &amp; no more flights to Norfolk that aren't booked. Renting a car.
1745,@united I'll try it. Mileage programs have historically been a lifeline for us world-hungry travelers of moderate means.
1746,"@united any way you can help me find a flight to LAS? Stuck in DIA, sat on plane 2 hrs, now been waiting an hour for an update."
1747,@United 50 minute wait times to help with a Cancelled Flightled flight?? Help a guy out?
1748,@united I was rebooked but had to take bus from Portland Maine to Boston. Told United does not cover the charge.
1749,@united there is a sector whereby it says $0 in both bags...no bag allowance at all in international flight?
1750,@United You were doing so well until the PHL-SFO flight yesterday. Major miss. Unfriendly Premier cabin crew. Baggage cluster at SFO.
1751,"@united Your baggage tracking system is worthless! It tells me nothing about where the bag is, much less what your plans are to get it to me"
1752,@United is offering to reroute my SFO flight to LAX. Might be geography class time.
1753,@united thank you for letting me down.My luggage is still in Denver but I'm in Phl. #neveragain #flyingwithUS #disappointed #lostacustomer
1754,@united can you get me on the delayed flight to EWR out of YYZ at 15:30? No customer service to be found in airport
1755,@united flight UA3774 after two delays. just Cancelled Flightled and no more flights to Norfolk that aren't booked. Renting a car.
1756,"@united thanks for having no one to pilot my last two flights, and all but stranding me in Houston tonight.  Airlines are the absolute worst"
1757,@united so disgusted and disappointed with united airlines luggage policies and attitude toward musicians. Unacceptable
1758,"@united missing my amazing us bank work conference, not ok.  What do I do now?????"
1759,"@united ... frozen lines on flight, not continuing due to 'passenger comfort'? Not ok, sat on the plane as long as a flight to Vegas would !"
1760,@united my last call your customer service agent called me back... As he was stuck on hold to air Canada.. Just hope he's booked me a flight
1761,@united you left my bag in Houston last night. It's freezing cold in Memphis. Any idea on when I will see it? Off again tomorrow.
1762,@united this is why I fly @SouthwestAir ... Never have any issues
1763,@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed
1764,"@united I have tried and you have failed. Still no wifi ever, last row in the middle and I fly every week. Thanks for nothing."
1765,@united great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!
1766,@united trying to check in for tomorrow's flight. website keeps timing out. what's up?
1767,"@united yes, computer would allow me to get to San Diego quick but customer service will not help.  Says can't rebook http://t.co/KcVUbUYExc"
1768,"@United says we had a weather delay in #YXE this morning. The ""weather"" didn't affect any other airline. #UA6136 http://t.co/4JdvK8tCqx"
1769,@united Do you have Bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week.
1770,"@united It was Cancelled Flightled, none of the passengers were notified. Complete violation of travelers' rights.  @AerocivilCol"
1771,@united thanks for ruined my vacation for having poorly maintained aircrafts that can’t fly safely out of STT. #UA1481 #Cancelled Flightledflight
1772,@united in fact he received my boarding pass
1773,@united @Lmuschel he is traveling with me on a sep reservation number F3KxB8
1774,“@united:That's not something we like to hear. Hopefully our staff can resolve &amp; have you on your way ASAP. ^ML”:3:15 &amp; still not resolved
1775,@united You must follow me in order for me to send you a direct message if that is what you meant.
1776,@united I don't know what DM the confirmation number means.
1777,"@united Waiting for 3494 EWR-ORD, delayed 47 mins. Might miss 5491 ORD-YWG at 6pm CT. Any room on 5644 ORD-YWG in case I miss connex?"
1778,@united What does DM the confirmation @ mean???
